pokemon_id,version_group_id,move_id,pokemon_move_method_id,level
1,15,22,1,9
1,15,33,1,1
1,15,36,1,15
1,15,38,1,27
1,15,45,1,3
1,15,73,1,7
1,15,74,1,25
1,15,75,1,19
1,15,77,1,13
1,15,79,1,13
1,15,230,1,21
1,15,235,1,33
1,15,388,1,31
1,15,402,1,37
2,15,22,1,9
2,15,33,1,1
2,15,36,1,15
2,15,38,1,31
2,15,45,1,1
2,15,45,1,3
2,15,73,1,1
2,15,73,1,7
2,15,74,1,28
2,15,75,1,20
2,15,76,1,44
2,15,77,1,13
2,15,79,1,13
2,15,230,1,23
2,15,235,1,39
2,15,388,1,36
3,15,22,1,1
3,15,22,1,9
3,15,33,1,1
3,15,36,1,15
3,15,38,1,31
3,15,45,1,1
3,15,45,1,3
3,15,73,1,1
3,15,73,1,7
3,15,74,1,28
3,15,75,1,20
3,15,76,1,53
3,15,77,1,13
3,15,79,1,13
3,15,80,1,32
3,15,230,1,23
3,15,235,1,45
3,15,388,1,39
3,15,572,1,50
4,15,10,1,1
4,15,45,1,1
4,15,52,1,7
4,15,53,1,37
4,15,82,1,16
4,15,83,1,43
4,15,108,1,10
4,15,163,1,34
4,15,184,1,19
4,15,424,1,25
4,15,481,1,28
4,15,517,1,46
5,15,10,1,1
5,15,45,1,1
5,15,52,1,1
5,15,52,1,7
5,15,53,1,43
5,15,82,1,17
5,15,83,1,50
5,15,108,1,10
5,15,163,1,39
5,15,184,1,21
5,15,424,1,28
5,15,481,1,32
5,15,517,1,54
6,15,10,1,1
6,15,17,1,36
6,15,45,1,1
6,15,52,1,1
6,15,52,1,7
6,15,53,1,47
6,15,82,1,17
6,15,83,1,56
6,15,108,1,1
6,15,108,1,10
6,15,163,1,41
6,15,184,1,21
6,15,257,1,1
6,15,257,1,71
6,15,337,1,1
6,15,394,1,1
6,15,394,1,77
6,15,403,1,1
6,15,421,1,1
6,15,424,1,28
6,15,481,1,32
6,15,517,1,62
7,15,33,1,1
7,15,39,1,4
7,15,44,1,16
7,15,55,1,7
7,15,56,1,40
7,15,110,1,10
7,15,130,1,31
7,15,145,1,13
7,15,182,1,22
7,15,229,1,19
7,15,240,1,37
7,15,334,1,34
7,15,352,1,25
7,15,401,1,28
8,15,33,1,1
8,15,39,1,1
8,15,39,1,4
8,15,44,1,16
8,15,55,1,1
8,15,55,1,7
8,15,56,1,48
8,15,110,1,10
8,15,130,1,36
8,15,145,1,13
8,15,182,1,24
8,15,229,1,20
8,15,240,1,44
8,15,334,1,40
8,15,352,1,28
8,15,401,1,32
9,15,33,1,1
9,15,39,1,1
9,15,39,1,4
9,15,44,1,16
9,15,55,1,1
9,15,55,1,7
9,15,56,1,60
9,15,110,1,1
9,15,110,1,10
9,15,130,1,39
9,15,145,1,13
9,15,182,1,24
9,15,229,1,20
9,15,240,1,53
9,15,334,1,46
9,15,352,1,28
9,15,401,1,32
9,15,430,1,1
10,15,33,1,1
10,15,81,1,1
10,15,450,1,15
11,15,106,1,1
11,15,106,1,7
12,15,16,1,16
12,15,18,1,22
12,15,48,1,18
12,15,60,1,24
12,15,77,1,12
12,15,78,1,12
12,15,79,1,12
12,15,93,1,1
12,15,93,1,10
12,15,219,1,36
12,15,318,1,28
12,15,366,1,30
12,15,405,1,42
12,15,445,1,40
12,15,476,1,34
12,15,483,1,46
13,15,40,1,1
13,15,81,1,1
13,15,450,1,15
14,15,106,1,1
14,15,106,1,7
15,15,31,1,1
15,15,31,1,10
15,15,41,1,16
15,15,42,1,28
15,15,97,1,31
15,15,99,1,19
15,15,116,1,13
15,15,228,1,22
15,15,283,1,40
15,15,372,1,34
15,15,390,1,25
15,15,398,1,37
15,15,565,1,45
16,15,16,1,9
16,15,17,1,33
16,15,18,1,17
16,15,28,1,5
16,15,33,1,1
16,15,97,1,29
16,15,98,1,13
16,15,119,1,45
16,15,239,1,21
16,15,297,1,25
16,15,355,1,37
16,15,366,1,41
16,15,403,1,49
16,15,542,1,53
17,15,16,1,1
17,15,16,1,9
17,15,17,1,37
17,15,18,1,17
17,15,28,1,1
17,15,28,1,5
17,15,33,1,1
17,15,97,1,32
17,15,98,1,13
17,15,119,1,52
17,15,239,1,22
17,15,297,1,27
17,15,355,1,42
17,15,366,1,47
17,15,403,1,57
17,15,542,1,62
18,15,16,1,1
18,15,16,1,9
18,15,17,1,38
18,15,18,1,17
18,15,28,1,1
18,15,28,1,5
18,15,33,1,1
18,15,97,1,32
18,15,98,1,1
18,15,98,1,13
18,15,119,1,56
18,15,239,1,22
18,15,297,1,27
18,15,355,1,44
18,15,366,1,50
18,15,403,1,62
18,15,542,1,1
18,15,542,1,68
19,15,33,1,1
19,15,38,1,31
19,15,39,1,1
19,15,44,1,10
19,15,98,1,4
19,15,116,1,7
19,15,158,1,16
19,15,162,1,28
19,15,228,1,13
19,15,242,1,22
19,15,283,1,34
19,15,372,1,25
19,15,389,1,19
20,15,14,1,1
20,15,33,1,1
20,15,38,1,39
20,15,39,1,1
20,15,44,1,10
20,15,98,1,1
20,15,98,1,4
20,15,116,1,1
20,15,116,1,7
20,15,158,1,16
20,15,162,1,34
20,15,184,1,20
20,15,228,1,13
20,15,242,1,24
20,15,283,1,44
20,15,372,1,29
20,15,389,1,19
21,15,31,1,9
21,15,43,1,5
21,15,45,1,1
21,15,64,1,1
21,15,65,1,37
21,15,97,1,25
21,15,119,1,21
21,15,228,1,13
21,15,332,1,17
21,15,355,1,33
21,15,372,1,29
22,15,31,1,1
22,15,31,1,9
22,15,43,1,1
22,15,43,1,5
22,15,45,1,1
22,15,64,1,1
22,15,65,1,47
22,15,97,1,29
22,15,119,1,23
22,15,228,1,13
22,15,332,1,17
22,15,355,1,41
22,15,365,1,1
22,15,372,1,35
22,15,529,1,1
22,15,529,1,53
23,15,35,1,1
23,15,40,1,4
23,15,43,1,1
23,15,44,1,9
23,15,51,1,20
23,15,103,1,17
23,15,114,1,41
23,15,137,1,12
23,15,254,1,25
23,15,255,1,25
23,15,256,1,25
23,15,380,1,36
23,15,426,1,33
23,15,441,1,49
23,15,489,1,44
23,15,491,1,28
